1.5m humi,1.5m temp,5cm earth,radio,all_product
66,20,23,31.93,719.2
62,20.7,23.5,29.44,616.9
90,22.2,26,19.28,1871.35
76,22.9,25.2,26.46,3697.6
68,23.4,25.4,34.89,1709.5
66,22.4,25.2,,12
65,23,27.3,28.89,1236.2
75,23.2,25,22.86,40
80,22.8,27,28.23,1173.5
78,23.4,25.6,20.76,2772
65,24.4,26.6,35.39,1163
71,22.6,28,28.62,1781.3
51,24.9,25,34.4,28
75,24.4,27.6,27.44,1966.5
95,19.9,23.6,6.04,3636.3
76,23.4,25.2,19.51,558.7
76,22.8,26,14.76,1243.2
95,20.2,22.6,1.72,50
97,21.5,25.7,7.7,1390.5
86,23.4,24.5,,30
87,24.1,24.4,17.37,2877
75,25.1,26.9,24.84,731
72,25.1,29.2,25.52,860.6
94,23.8,26.1,13.65,1705.5
79,23.1,25.1,,4
83,23.5,25.6,23.7,2931.5
78,25,27,22.4,711
83,23.4,25.9,15.86,80
77,23.8,27.5,15.15,1217.6
79,23.9,25.2,24.02,40
88,24.5,27.6,23.36,1870.5
97,21,24.3,3.88,2597.3
87,21.3,25.1,15.78,1591.1
81,21.4,25.5,12.92,1551.3
91,22.1,24.1,,21
100,21.8,25.7,3.38,1340.85
96,21.7,24.3,7.47,3882.9
80,22.5,25.4,13.85,120
74,23.3,25.7,25.63,4154
68,22.7,26.7,22.99,3371.6
78,22.4,24.3,,20
71,23.3,24.4,24.74,70
91,23.4,26.4,10.96,1774.5
81,23.5,24.9,24.88,2716.4
69,23.2,26.2,30.09,2927.4
69,22.5,27.2,25.16,2810.4
82,22.7,25,,27.5
71,23.7,24.6,30.73,132
85,23.4,26.6,25.8,1704.46
78,22.5,25.5,,38.7
84,22.1,25,19.94,3496.2
72,23.4,26.7,27.58,2715.6
74,22.5,27.7,23.67,2809.4
73,23.7,24.8,18.48,60
86,23.6,26.4,17.65,1772.75
80,24.1,25.6,25.62,2618.2
65,25.2,28,35.4,1356.2
65,23.8,28.6,27.76,2887.6
74,22.9,26.4,,30
80,24,27.4,24.45,1023.75
80,24.7,26.6,21.45,2981.3
58,26.2,29.1,32.5,2686.9
64,25,29.4,26.35,3946.6
64,24.7,27.4,,45
79,25.4,27.9,25.7,1947
75,24.6,26.9,29.97,1753.4
64,26,29.8,34.71,4209.1
49,27.1,28,,52
62,25.7,29.5,25.93,3383.6
72,26.4,28.4,28.45,1913.35
79,22.8,26,22.23,2316.4
53,25,28.2,,28
76,20.8,27,16.75,70
71,21,25.5,15.67,9145.7
68,21.7,26.9,22.8,5025.6
44,25.1,25.1,25.16,188
74,24.2,27.6,24.96,1322.8
79,23.2,26,17.93,2206.9
